Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
326805873,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  8:56 AM,Comisión,-0.09,,715.15,
326794266,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  8:53 AM,Comisión,-0.09,,707.73,
326790578,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  8:53 AM,Comisión,-0.05,,700.31,
326774843,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  4:15 PM,Comisión,-0.09,,695.99,
326773745,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  4:14 PM,Comisión,-2.04,,688.2,
326710600,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:56 AM,Comisión,-0.08,,513.77,
326706028,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:55 AM,Comisión,-0.08,,506.58,
326642696,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:52 AM,Comisión,-0.08,,499.26,
326629879,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:51 AM,Comisión,-0.08,,492.18,
326592440,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:48 AM,Comisión,-0.08,,484.98,
326531731,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:45 AM,Comisión,-0.09,,477.79,
326500377,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:43 AM,Comisión,-0.13,,470.37,
326320059,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:31 AM,Comisión,-0.09,,459.91,
326316177,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:31 AM,Comisión,-0.09,,452.25,
326227143,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:24 AM,Comisión,-0.09,,444.59,
326124329,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:17 AM,Comisión,-0.09,,437.05,
326092977,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:11 AM,Comisión,-0.09,,429.39,
326028151,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  9:06 AM,Comisión,-0.09,,421.85,
325997224,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  8:56 AM,Comisión,-0.09,,413.94,
325931930,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,07/01/2025  8:43 AM,Comisión,-0.09,,406.04,
325876703,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025  5:35 PM,Comisión,-0.08,,398.62,
325837006,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025  1:24 PM,Comisión,-0.09,,391.41,
325786782,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025  1:18 PM,Comisión,-0.09,,383.99,
325783248,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025 10:10 AM,Comisión,-0.08,,176.09,
325753234,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025 10:07 AM,Comisión,-0.08,,168.9,
